Rank,Name,Net Worth,Age,Country,Source,Industry
155.0,Lui Che Woo,$11.6 B,93.0,Hong Kong,casinos/hotels,Gambling & Casinos
156.0,Brian Chesky,$11.5 B,40.0,United States,Airbnb,Technology
157.0,Israel Englander,$11.5 B,73.0,United States,hedge funds,Finance & Investments
158.0,Dustin Moskovitz,$11.5 B,37.0,United States,Facebook,Technology
159.0,Alisher Usmanov,$11.5 B,68.0,Russia,"steel, telecom, investments",Metals & Mining
160.0,Jay Chaudhry,$11.4 B,62.0,United States,security software,Technology
161.0,Anthony Pratt,$11.4 B,61.0,Australia,manufacturing,Manufacturing
162.0,Colin Zheng Huang,$11.3 B,42.0,China,e-commerce,Technology
163.0,Jin Baofang,$11.3 B,69.0,China,solar panels,Energy
164.0,Pierre Omidyar,$11.3 B,54.0,United States,"eBay, PayPal",Technology
165.0,Gennady Timchenko,$11.3 B,69.0,Russia,"oil, gas",Energy
166.0,Carl Cook,$11.1 B,59.0,United States,medical devices,Healthcare
167.0,Wang Xing,$11 B,43.0,China,e-commerce,Technology
168.0,David Cheriton,$10.9 B,71.0,Canada,Google,Technology
169.0,Alexander Otto,$10.9 B,54.0,Germany,real estate,Real Estate
170.0,Philip Anschutz,$10.9 B,82.0,United States,investments,Finance & Investments
171.0,Diane Hendricks,$10.7 B,75.0,United States,roofing,Construction & Engineering
172.0,Stanley Kroenke,$10.7 B,74.0,United States,"sports, real estate",Sports
173.0,Jerry Jones,$10.6 B,79.0,United States,Dallas Cowboys,Sports
174.0,Quek Leng Chan,$10.6 B,80.0,Malaysia,"banking, property",Diversified
175.0,Eduardo Saverin,$10.6 B,40.0,Brazil,Facebook,Media & Entertainment
176.0,Vagit Alekperov,$10.5 B,71.0,Russia,oil,Energy
177.0,Richard Liu,$10.5 B,48.0,China,e-commerce,Technology
178.0,Idan Ofer,$10.5 B,66.0,Israel,shipping,Diversified
179.0,Melker Schorling & family,$10.4 B,74.0,Sweden,investments,Finance & Investments
180.0,Marcel Herrmann Telles,$10.3 B,72.0,Brazil,beer,Food & Beverage
181.0,"Chase Coleman, III.",$10.3 B,46.0,United States,investments,Finance & Investments
182.0,Stefano Pessina,$10.3 B,80.0,Monaco,drugstores,Fashion & Retail
183.0,Mikhail Prokhorov,$10.3 B,56.0,Russia,investments,Finance & Investments
184.0,Leon Black,$10 B,70.0,United States,private equity,Finance & Investments
185.0,Joe Gebbia,$10 B,40.0,United States,Airbnb,Technology
186.0,David Geffen,$10 B,79.0,United States,"movies, record labels",Media & Entertainment
187.0,Yu Renrong,$10 B,56.0,China,semiconductors,Manufacturing
188.0,George Kaiser,$9.9 B,79.0,United States,"oil & gas, banking",Energy
189.0,Qi Shi & family,$9.9 B,52.0,China,financial information,Technology
190.0,Luis Carlos Sarmiento,$9.9 B,89.0,Colombia,banking,Finance & Investments
191.0,Andreas von Bechtolsheim & family,$9.9 B,66.0,Germany,Google,Technology
192.0,Andrew Beal,$9.9 B,69.0,United States,"banks, real estate",Finance & Investments
193.0,Jan Koum,$9.8 B,46.0,United States,WhatsApp,Technology
194.0,Jorge Moll Filho & family,$9.8 B,77.0,Brazil,hospitals,Healthcare
195.0,Azim Premji,$9.8 B,76.0,India,software services,Technology
196.0,Finn Rausing,$9.8 B,67.0,Sweden,packaging,Food & Beverage
197.0,Jorn Rausing,$9.8 B,62.0,Sweden,packaging,Food & Beverage
198.0,Kirsten Rausing,$9.8 B,69.0,Sweden,packaging,Food & Beverage
199.0,Wang Laisheng,$9.8 B,57.0,China,electronics components,Technology
200.0,Tom & Judy Love,$9.7 B,,United States,retail & gas stations,Fashion & Retail
201.0,Gordon Moore,$9.5 B,93.0,United States,Intel,Technology
202.0,Wang Laichun,$9.5 B,54.0,China,electronics components,Technology
203.0,Patrick Collison,$9.5 B,33.0,Ireland,payment software,Technology
204.0,Graeme Hart,$9.4 B,66.0,New Zealand,investments,Finance & Investments
205.0,Zheng Shuliang & family,$9.4 B,76.0,China,aluminum products,Metals & Mining
206.0,Cao Renxian,$9.3 B,53.0,China,photovoltaic equipment,Energy
207.0,Nathan Blecharczyk,$9.2 B,38.0,United States,Airbnb,Technology
208.0,James Dyson,$9.2 B,74.0,United Kingdom,vacuums,Manufacturing
209.0,Ivan Glasenberg,$9.1 B,65.0,Switzerland,mining,Metals & Mining
210.0,Kim Beom-su,$9.1 B,56.0,South Korea,online services,Technology
211.0,Jay Y. Lee,$9.1 B,53.0,South Korea,Samsung,Diversified
212.0,Liu Yonghao & family,$9.1 B,70.0,China,agribusiness,Service
213.0,Ann Walton Kroenke,$9 B,73.0,United States,Walmart,Fashion & Retail
214.0,Eric Wittouck,$9 B,75.0,Belgium,investments,Finance & Investments
215.0,Friedhelm Loh,$8.9 B,75.0,Germany,manufacturing,Manufacturing
216.0,Xavier Niel,$8.9 B,54.0,France,"internet, telecom",Telecom
217.0,Michael Otto,$8.9 B,78.0,Germany,"retail, real estate",Fashion & Retail
218.0,Johann Rupert & family,$8.9 B,71.0,South Africa,luxury goods,Fashion & Retail
219.0,Ian & Richard Livingstone,$8.9 B,,United Kingdom,real estate,Real Estate
220.0,Hui Ka Yan,$8.8 B,63.0,China,real estate,Real Estate
221.0,Pauline MacMillan Keinath,$8.8 B,88.0,United States,Cargill,Food & Beverage
222.0,"Herbert Kohler, Jr. & family",$8.8 B,83.0,United States,plumbing fixtures,Manufacturing
223.0,Ge Li,$8.8 B,55.0,United States,pharmaceutical ingredients,Healthcare
224.0,Kushal Pal Singh,$8.8 B,90.0,India,real estate,Real Estate
225.0,Zong Qinghou,$8.8 B,76.0,China,beverages,Food & Beverage
226.0,Cai Kui,$8.7 B,59.0,China,real estate,Real Estate
227.0,Charles Ergen,$8.7 B,69.0,United States,satellite TV,Media & Entertainment
228.0,Bernard Marcus,$8.7 B,92.0,United States,Home Depot,Fashion & Retail
229.0,Nicky Oppenheimer & family,$8.7 B,76.0,South Africa,diamonds,Metals & Mining
230.0,Bajaj brothers,$8.6 B,,India,diversified,Diversified
231.0,"Ernest Garcia, II.",$8.6 B,64.0,United States,used cars,Automotive
232.0,Paul Lee,$8.6 B,64.0,United States,packaging,Manufacturing
233.0,George Soros,$8.6 B,91.0,United States,hedge funds,Finance & Investments
234.0,Wang Liping & family,$8.6 B,56.0,China,hydraulic machinery,Manufacturing
235.0,Ernesto Bertarelli,$8.5 B,56.0,Switzerland,"biotech, investments",Healthcare
236.0,Tamara Gustavson,$8.5 B,60.0,United States,self storage,Service
237.0,Carlos Alberto Sicupira & family,$8.5 B,74.0,Brazil,beer,Food & Beverage
238.0,Francine von Finck & family,$8.4 B,,Germany,investments,Finance & Investments
239.0,Anthony von Mandl,$8.4 B,72.0,Canada,alcoholic beverages,Food & Beverage
240.0,Laurent Dassault,$8.4 B,68.0,France,diversified,Diversified
241.0,Thierry Dassault,$8.4 B,65.0,France,diversified,Diversified
242.0,Marie-Hélène Habert-Dassault,$8.4 B,57.0,France,diversified,Diversified
243.0,Liu Jincheng & family,$8.4 B,57.0,China,lithium batteries,Technology
244.0,Steven Rales,$8.4 B,71.0,United States,"manufacturing, investments",Manufacturing
245.0,Joseph Tsai,$8.4 B,58.0,Canada,e-commerce,Technology
246.0,Carl Bennet,$8.3 B,70.0,Sweden,investments,Finance & Investments
247.0,Robert Kraft,$8.3 B,80.0,United States,New England Patriots,Sports
248.0,Chairul Tanjung,$8.3 B,59.0,Indonesia,diversified,Diversified
249.0,Manuel Villar,$8.3 B,72.0,Philippines,real estate,Real Estate
250.0,Jean-Michel Besnier,$8.2 B,54.0,France,cheese,Food & Beverage
251.0,Marie Besnier Beauvalot,$8.2 B,41.0,France,cheese,Food & Beverage
252.0,Gustaf Douglas,$8.2 B,84.0,Sweden,investments,Diversified
253.0,Kjeld Kirk Kristiansen,$8.2 B,74.0,Denmark,Lego,Manufacturing
254.0,Sofie Kirk Kristiansen,$8.2 B,46.0,Denmark,Lego,Manufacturing
255.0,Thomas Kirk Kristiansen,$8.2 B,43.0,Denmark,Lego,Manufacturing
256.0,Agnete Kirk Thinggaard,$8.2 B,38.0,Denmark,Lego,Manufacturing
257.0,Dmitri Bukhman,$8.1 B,36.0,Israel,online games,Media & Entertainment
258.0,Igor Bukhman,$8.1 B,40.0,Israel,online games,Media & Entertainment
259.0,Francis Choi,$8.1 B,74.0,Hong Kong,real estate,Real Estate
260.0,Murali Divi & family,$8.1 B,71.0,India,pharmaceuticals,Healthcare
261.0,Nancy Walton Laurie,$8.1 B,70.0,United States,Walmart,Fashion & Retail
262.0,Georg Schaeffler,$8.1 B,57.0,Germany,auto parts,Automotive
263.0,Yao Liangsong,$8.1 B,57.0,China,furniture,Manufacturing
264.0,Zhong Huijuan,$8.1 B,61.0,China,pharmaceuticals,Healthcare
265.0,Marc Benioff,$8.1 B,57.0,United States,business software,Technology
266.0,Stewart & Lynda Resnick,$8 B,,United States,"agriculture, water",Food & Beverage
267.0,George Roberts,$8 B,78.0,United States,private equity,Finance & Investments
268.0,Michael Rubin,$8 B,49.0,United States,online retail,Fashion & Retail
269.0,Patrick Ryan,$8 B,84.0,United States,insurance,Finance & Investments
270.0,Valerie Mars,$7.9 B,63.0,United States,"candy, pet food",Food & Beverage
271.0,Victoria Mars,$7.9 B,65.0,United States,"candy, pet food",Food & Beverage
272.0,Hasso Plattner & family,$7.9 B,78.0,Germany,software,Technology
273.0,Georg Stumpf,$7.9 B,49.0,Austria,"real estate, construction",Diversified
274.0,Christy Walton,$7.9 B,73.0,United States,Walmart,Fashion & Retail
275.0,Marijke Mars,$7.9 B,57.0,United States,"candy, pet food",Food & Beverage
276.0,Pamela Mars,$7.9 B,61.0,United States,"candy, pet food",Food & Beverage
277.0,Giorgio Armani,$7.8 B,87.0,Italy,luxury goods,Fashion & Retail
278.0,Gopikishan Damani,$7.8 B,64.0,India,"retail, investments",Fashion & Retail
279.0,Ding Shizhong & family,$7.8 B,51.0,China,sports apparel,Fashion & Retail
280.0,Jim Kennedy,$7.8 B,74.0,United States,"media, automotive",Media & Entertainment
281.0,German Khan,$7.8 B,60.0,Russia,"oil, banking, telecom",Energy
282.0,Liang Wengen,$7.8 B,65.0,China,construction equipment,Manufacturing
283.0,Blair Parry-Okeden,$7.8 B,71.0,United States,"media, automotive",Media & Entertainment
284.0,Ding Shijia,$7.7 B,58.0,China,sports apparel,Fashion & Retail
285.0,Karel Komarek,$7.7 B,53.0,Czechia,"oil and gas, IT, lotteries",Gambling & Casinos
286.0,Henry Kravis,$7.7 B,78.0,United States,private equity,Finance & Investments
287.0,Frederik Paulsen,$7.7 B,71.0,Sweden,health care,Healthcare
288.0,Safra siblings,$7.7 B,,Brazil,banking,Finance & Investments
289.0,Nassef Sawiris,$7.7 B,61.0,Egypt,"construction, investments",Construction & Engineering
290.0,Xu Shihui,$7.7 B,64.0,China,"snacks, beverages",Food & Beverage
291.0,Bajaj siblings,$7.7 B,,India,"two-wheelers, finance",Automotive
292.0,Ashwin Dani & family,$7.7 B,79.0,India,paints,Manufacturing
293.0,Rahel Blocher,$7.6 B,46.0,Switzerland,chemicals,Manufacturing
294.0,Shahid Khan,$7.6 B,71.0,United States,auto parts,Automotive
295.0,Magdalena Martullo-Blocher,$7.6 B,53.0,Switzerland,chemicals,Manufacturing
296.0,Vincent Bolloré & family,$7.5 B,70.0,France,investments,Finance & Investments
297.0,Jeffery Hildebrand,$7.5 B,63.0,United States,oil,Energy
298.0,Richard Kinder,$7.5 B,77.0,United States,pipelines,Energy
299.0,David Shaw,$7.5 B,71.0,United States,hedge funds,Finance & Investments
300.0,John Malone,$7.4 B,81.0,United States,cable television,Media & Entertainment
301.0,Vicky Safra,$7.4 B,69.0,Greece,banking,Finance & Investments
302.0,Tim Sweeney,$7.4 B,51.0,United States,video games,Media & Entertainment
303.0,Mike Adenuga,$7.3 B,68.0,Nigeria,"telecom, oil",Diversified
304.0,David Green & family,$7.3 B,80.0,United States,retail,Fashion & Retail
305.0,"Paul Tudor Jones, II.",$7.3 B,67.0,United States,hedge funds,Finance & Investments
306.0,Yuri Milner,$7.3 B,60.0,Israel,tech investments,Finance & Investments
307.0,Henry Samueli,$7.3 B,67.0,United States,semiconductors,Technology
308.0,Patrick Soon-Shiong,$7.3 B,69.0,United States,pharmaceuticals,Healthcare
309.0,Antonia Ax:son Johnson & family,$7.2 B,78.0,Sweden,diversified,Diversified
310.0,Michael Kadoorie,$7.2 B,80.0,Hong Kong,"hotels, energy",Energy
311.0,Lin Shu-hong,$7.2 B,93.0,Taiwan,petrochemicals,Manufacturing
312.0,Reinhold Schmieding,$7.2 B,67.0,United States,medical devices,Healthcare
313.0,Wee Cho Yaw,$7.2 B,93.0,Singapore,banking,Finance & Investments
314.0,Silvio Berlusconi & family,$7.1 B,85.0,Italy,media,Diversified
315.0,Arthur Blank,$7.1 B,79.0,United States,Home Depot,Sports
316.0,Qian Dongqi & family,$7.1 B,64.0,China,home-cleaning robots,Manufacturing
317.0,J. Christopher Reyes,$7.1 B,68.0,United States,food distribution,Food & Beverage
318.0,Jude Reyes,$7.1 B,66.0,United States,food distribution,Food & Beverage
319.0,Nik Storonsky,$7.1 B,37.0,United Kingdom,fintech,Finance & Investments
320.0,Zhou Qunfei & family,$7.1 B,52.0,Hong Kong,smartphone screens,Technology
321.0,Deng Weiming & family,$7 B,53.0,China,battery components,Manufacturing
322.0,Judy Faulkner,$7 B,78.0,United States,health IT,Technology
323.0,Robin Li,$7 B,53.0,China,internet search,Technology
324.0,Carrie Perrodo & family,$7 B,71.0,France,oil,Energy
325.0,David Reuben,$7 B,83.0,United Kingdom,"investments, real estate",Real Estate
326.0,Seo Jung-jin,$7 B,64.0,South Korea,biotech,Healthcare
327.0,Micky Arison,$6.9 B,72.0,United States,Carnival Cruises,Service
328.0,Edythe Broad & family,$6.9 B,86.0,United States,"homebuilding, insurance",Diversified
329.0,Terry Gou,$6.9 B,71.0,Taiwan,electronics,Technology
330.0,Jiang Bin,$6.9 B,55.0,China,acoustic components,Technology
331.0,Vinod Khosla,$6.9 B,67.0,United States,venture capital,Technology
332.0,Ralph Lauren,$6.9 B,82.0,United States,apparel,Fashion & Retail
333.0,Douglas Leone,$6.9 B,64.0,United States,venture capital,Finance & Investments
334.0,Lucia Maggi & family,$6.9 B,89.0,Brazil,agribusiness,Diversified
335.0,Horst Julius Pudwill,$6.9 B,77.0,Germany,manufacturing,Manufacturing
336.0,Abdulsamad Rabiu,$6.9 B,61.0,Nigeria,"cement, sugar",Diversified
337.0,Harry Stine,$6.9 B,80.0,United States,agriculture,Food & Beverage
338.0,Dennis Washington,$6.9 B,87.0,United States,"construction, mining",Logistics
339.0,Roman Abramovich,$6.9 B,55.0,Russia,"steel, investments",Diversified
340.0,Kwon Hyuk-bin,$6.8 B,48.0,South Korea,online games,Technology
341.0,Frank Lowy,$6.8 B,91.0,Australia,shopping malls,Real Estate
342.0,Ronda Stryker,$6.8 B,67.0,United States,medical equipment,Healthcare
343.0,Stanley Druckenmiller,$6.8 B,68.0,United States,hedge funds,Finance & Investments
344.0,Jonathan Gray,$6.8 B,52.0,United States,investments,Finance & Investments
345.0,Alejandro Bailleres Gual & siblings,$6.7 B,61.0,Mexico,mining,Diversified
346.0,Benu Gopal Bangur,$6.7 B,90.0,India,cement,Manufacturing
347.0,James Goodnight,$6.7 B,79.0,United States,software,Technology
